trial_id,batch_size,num_epochs,optimizer,lr,architecture,noise_factor,noise_scale,train_loss,val_loss,val_psnr,val_ssim,status
0,8,30,Adam,0.01,"[64, 128, 256]",0.2,1.0,0.06778666377067565,0.13550047079722086,9.18044775125289,0.32344252,COMPLETED
1,8,30,Adam,0.001,"[64, 128, 256]",0.2,1.0,0.08544999957084658,0.07498657951752345,9.721306390106577,0.31376457,COMPLETED
2,8,30,Adadelta,0.01,"[64, 128, 256]",0.2,1.0,0.07644127483169239,0.08231354008118312,9.35634570639233,0.30177042,COMPLETED
3,8,30,Adadelta,0.001,"[64, 128, 256]",0.2,1.0,0.10000047733386358,0.083625927567482,9.587279204607922,0.30499032,COMPLETED
4,16,30,Adam,0.01,"[64, 128, 256]",0.2,1.0,0.08082939932743709,0.21068296829859415,6.3723872444520735,0.22634758,COMPLETED
5,16,30,Adam,0.001,"[64, 128, 256]",0.2,1.0,0.0697313944498698,0.07274371137221654,10.122073839765003,0.29566145,COMPLETED
6,16,30,Adadelta,0.01,"[64, 128, 256]",0.2,1.0,0.1121935784816742,0.09967389206091563,9.144907824145045,0.2865518,COMPLETED
7,16,30,Adadelta,0.001,"[64, 128, 256]",0.2,1.0,0.10308527797460558,0.09419665237267812,9.523351723175045,0.29122004,COMPLETED
