train_loss,val_loss,val_psnr,val_ssim,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/noise_factor,config/noise_scale,config/batch_size,config/num_epochs,config/optimizer,config/lr,config/architecture,logdir
1.0,1.0,0.0,0.0,1760676434,,False,1,573c4_00000,2025-10-17_11-47-14,2.3138177394866943,2.3138177394866943,9904,saig-now,127.0.0.1,2.3138177394866943,1,0.2,1.0,16,30,Adam,0.01,"[64, 128, 256]",573c4_00000
1.0,1.0,0.0,0.0,1760676434,,False,1,573c4_00001,2025-10-17_11-47-14,2.3112919330596924,2.3112919330596924,24884,saig-now,127.0.0.1,2.3112919330596924,1,0.2,1.0,8,30,Adadelta,0.001,"[64, 128, 256]",573c4_00001
1.0,1.0,0.0,0.0,1760676438,,False,1,573c4_00002,2025-10-17_11-47-18,1.8857753276824951,1.8857753276824951,15748,saig-now,127.0.0.1,1.8857753276824951,1,0.2,1.0,8,30,Adadelta,0.01,"[64, 128, 256]",573c4_00002
1.0,1.0,0.0,0.0,1760676438,,False,1,573c4_00003,2025-10-17_11-47-18,1.8631763458251953,1.8631763458251953,31124,saig-now,127.0.0.1,1.8631763458251953,1,0.2,1.0,8,30,Adam,0.01,"[64, 128, 256]",573c4_00003
1.0,1.0,0.0,0.0,1760676442,,False,1,573c4_00004,2025-10-17_11-47-22,1.8406469821929932,1.8406469821929932,27260,saig-now,127.0.0.1,1.8406469821929932,1,0.2,1.0,8,30,Adam,0.01,"[64, 128, 256]",573c4_00004
1.0,1.0,0.0,0.0,1760676443,,False,1,573c4_00005,2025-10-17_11-47-23,1.8774769306182861,1.8774769306182861,32928,saig-now,127.0.0.1,1.8774769306182861,1,0.2,1.0,8,30,Adam,0.001,"[64, 128, 256]",573c4_00005
1.0,1.0,0.0,0.0,1760676447,,False,1,573c4_00006,2025-10-17_11-47-27,1.795091152191162,1.795091152191162,19788,saig-now,127.0.0.1,1.795091152191162,1,0.2,1.0,16,30,Adadelta,0.01,"[64, 128, 256]",573c4_00006
1.0,1.0,0.0,0.0,1760676447,,False,1,573c4_00007,2025-10-17_11-47-27,1.8407964706420898,1.8407964706420898,28528,saig-now,127.0.0.1,1.8407964706420898,1,0.2,1.0,8,30,Adam,0.001,"[64, 128, 256]",573c4_00007
