train_loss,val_loss,val_psnr,val_ssim,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/architecture,config/lr,config/batch_size,config/num_epochs,config/optimizer,logdir
0.008453227979717431,0.007881604080252787,21.25321635804304,0.7282087802886963,1757694504,,False,10,63039_00000,2025-09-12_23-28-24,4.319542407989502,45.76018762588501,3284,saig-now,127.0.0.1,45.76018762588501,10,"[32, 64, 128]",0.001,16,10,Adam,63039_00000
0.009825923331771735,0.013140951118925038,19.19179332025263,0.615023672580719,1757694506,,False,10,63039_00001,2025-09-12_23-28-26,4.619005918502808,47.49724245071411,20148,saig-now,127.0.0.1,47.49724245071411,10,"[32, 64, 128, 256]",0.001,16,10,Adam,63039_00001
0.00829231520594262,0.00841363867306534,20.9332843473654,0.7170001864433289,1757694551,,False,10,63039_00002,2025-09-12_23-29-11,4.025134801864624,41.55748891830444,14852,saig-now,127.0.0.1,41.55748891830444,10,"[32, 64, 128]",0.001,32,10,Adam,63039_00002
0.009832673610242851,0.010847142568844207,19.784263197409082,0.6146813631057739,1757694555,,False,10,63039_00003,2025-09-12_23-29-15,4.373807191848755,43.73492360115051,17704,saig-now,127.0.0.1,43.73492360115051,10,"[32, 64, 128, 256]",0.001,32,10,Adam,63039_00003
0.009725058754837071,0.008846709751250112,20.769071379939202,0.684585690498352,1757694600,,False,10,63039_00004,2025-09-12_23-30-00,4.345661163330078,43.49706816673279,6252,saig-now,127.0.0.1,43.49706816673279,10,"[32, 64, 128]",0.0001,16,10,Adam,63039_00004
0.011055775876674388,0.011112534742364111,19.650748505963538,0.5799252986907959,1757694607,,False,10,63039_00005,2025-09-12_23-30-07,4.935442686080933,46.266454458236694,8092,saig-now,127.0.0.1,46.266454458236694,10,"[32, 64, 128, 256]",0.0001,16,10,Adam,63039_00005
0.010056906448238912,0.009584666832404979,20.321874778732763,0.6606373190879822,1757694648,,False,10,63039_00006,2025-09-12_23-30-48,4.354650974273682,43.27506732940674,18780,saig-now,127.0.0.1,43.27506732940674,10,"[32, 64, 128]",0.0001,32,10,Adam,63039_00006
0.01156791383126641,0.011700476848465554,19.429909255530646,0.5652909278869629,1757694658,,False,10,63039_00007,2025-09-12_23-30-58,4.200684547424316,45.41490149497986,23120,saig-now,127.0.0.1,45.41490149497986,10,"[32, 64, 128, 256]",0.0001,32,10,Adam,63039_00007
0.007153784525063303,0.007365469396223917,21.58711891829936,0.7477631568908691,1757694741,,False,20,63039_00008,2025-09-12_23-32-21,4.376533031463623,87.51949620246887,5864,saig-now,127.0.0.1,87.51949620246887,20,"[32, 64, 128]",0.001,16,20,Adam,63039_00008
0.008227885642123444,0.009902890538796782,20.160816785276296,0.6594942808151245,1757694754,,False,20,63039_00009,2025-09-12_23-32-34,4.385839462280273,91.96667766571045,15092,saig-now,127.0.0.1,91.96667766571045,20,"[32, 64, 128, 256]",0.001,16,20,Adam,63039_00009
0.007495737271657323,0.007129158057710703,21.682116625543006,0.7442419528961182,1757694831,,False,20,63039_00010,2025-09-12_23-33-51,4.29994535446167,85.4857747554779,23620,saig-now,127.0.0.1,85.4857747554779,20,"[32, 64, 128]",0.001,32,20,Adam,63039_00010
0.009011782082619475,0.009296725175398238,20.41950547141521,0.651515543460846,1757694848,,False,20,63039_00011,2025-09-12_23-34-08,4.5366127490997314,89.24996852874756,21580,saig-now,127.0.0.1,89.24996852874756,20,"[32, 64, 128, 256]",0.001,32,20,Adam,63039_00011
0.008131937665381917,0.007590524222263519,21.429482204367588,0.7160040140151978,1757694924,,False,20,63039_00012,2025-09-12_23-35-24,4.382918119430542,87.53799247741699,10668,saig-now,127.0.0.1,87.53799247741699,20,"[32, 64, 128]",0.0001,16,20,Adam,63039_00012
0.009252559707534533,0.00923409523880657,20.467012629946897,0.6341334581375122,1757694944,,False,20,63039_00013,2025-09-12_23-35-44,4.451266527175903,90.38125371932983,7312,saig-now,127.0.0.1,90.38125371932983,20,"[32, 64, 128, 256]",0.0001,16,20,Adam,63039_00013
0.008574195247253074,0.008939086623928127,20.858708181065065,0.6911334991455078,1757695013,,False,20,63039_00014,2025-09-12_23-36-53,4.129193305969238,83.23237538337708,24496,saig-now,127.0.0.1,83.23237538337708,20,"[32, 64, 128]",0.0001,32,20,Adam,63039_00014
